## MORE DIPLOMACY STUFF ##
DIP_DEMAND_ADVANCE_NONE "Nejsou zde pozadovány zádné Tech. pokroky."
##
PACT_FULFILLED_ENEMY_DESTROYED_FIRSTPARTY "Splnil jsi tvuj pakt s [player.2.leader_name] ke znicení neprítele [player.3.leader_name]"
PACT_FULFILLED_ENEMY_DESTROYED_SECONDPARTY "[player.1.leader_name] splnil pakt s tebou a znicil [player.3.leader_name]"


#### agreements displayed on diplomacy screen ####
DIPxxx1_AGREEMENT_STOP_TRADING_WITH "Zastavit Obchodování s [player.2.leader_name]"
DIPxxx2_AGREEMENT_LEAVE_OUR_LANDS "Stop Prekorcení"
DIPxxx3_AGREEMENT_CEASE_FIRE "Mírová Smlouva"
DIPxxx3_AGREEMENT_REDUCE_POLLUTION "Redukce úrovne znecistení"
DIPxxx3_AGREEMENT_ATTACK_ENEMY "Napadnout Neprítele"
DIPxxx3_AGREEMENT_PERMANENT_ALLIANCE "Trvalé Spojenectví"
DIPxxx3_AGREEMENT_DEMAND_ADVANCE "Pozadovat Technologii"
DIPxxx3_AGREEMENT_DEMAND_MAP "Pozadovat Mapu"
DIPxxx3_AGREEMENT_DEMAND_GOLD "Pozadovat Zlat"
DIPxxx3_AGREEMENT_DEMAND_ATTACK_ENEMY "Napadnout Neprítele"
DIPxxx3_AGREEMENT_OFFER_ADVANCE "Dát Technologii"
DIPxxx3_AGREEMENT_OFFER_MAP "Dát Mapu"
DIPxxx3_AGREEMENT_OFFER_GOLD "Dát Zlato"
DIPxxx3_AGREEMENT_EXCHANGE_ADVANCE "Vymenit technologii"
DIPxxx3_AGREEMENT_EXCHANGE_MAP "Vymenit Mapu"
DIPxxx3_AGREEMENT_NO_PIRACY "Zastavit Pirátství"
DIPxxx3_AGREEMENT_EXPIRES "Nikdy"

#### offer/demands displayed on diplomacy outstanding requests screen ####
DIPxxx4_REQUEST_GREETING "Zádat Pozdrav"
DIPxxx4_REQUEST_DEMAND_ADVANCE "Zádat Objev"
DIPxxx4_REQUEST_DEMAND_MAP "Zádat Mapu"
DIPxxx4_REQUEST_DEMAND_GOLD "Zádat Zlato"
DIPxxx4_REQUEST_DEMAND_STOP_TRADE "Zastavit Obchod"
DIPxxx4_REQUEST_DEMAND_ATTACK_ENEMY "Napadnout Neprítele"
DIPxxx4_REQUEST_DEMAND_LEAVE_OUR_LANDS "Stop Prekrocení"
DIPxxx4_REQUEST_DEMAND_REDUCE_POLLUTION "Redukce Znecistení"
DIPxxx4_REQUEST_OFFER_ADVANCE "Dát Objev"
DIPxxx4_REQUEST_OFFER_MAP "Dát Mapu"
DIPxxx4_REQUEST_OFFER_GOLD "Dát Zlato"
DIPxxx4_REQUEST_OFFER_CEASE_FIRE "Mírová Smlouva"
DIPxxx4_REQUEST_OFFER_PERMANENT_ALLIANCE "Trvalé Spojenectví"
DIPxxx4_REQUEST_EXCHANGE_ADVANCE "Vymenit Objev"
DIPxxx4_REQUEST_EXCHANGE_MAP "Vymenit Mapu"
DIPxxx4_REQUEST_DEMAND_NO_PIRACY "Zastavit Pirátství"


#### diplomacy screen strings ####
DIP_NONE_AVAILABLE "Zádná k Dispozici"
DIP_NOTHING_TO_GIVE "Nic k Nabídnutí"
DIP_NO_KNOWN_CIVS "Zádná Civilizace Neobjevena"


#### Regard strings ####

REGARD_0 "Neutrální"
REGARD_1 "Neprátelský"
REGARD_2 "Prátelský"

#### Regard strings ####
ATTITUDE_0 "Neutrální"
ATTITUDE_1 "Silne Neprátelský"
ATTITUDE_2 "Silne Neprátelský"
ATTITUDE_3 "Slabe Neprátelský"
ATTITUDE_4 "Slabe Neprátelský"

### Diplomacy stuff

MADLIB_REQUEST_GREETINGS_N "Prinásím pozdravy od [player.1.civ_name_singular] lidu."
MADLIB_REQUEST_GREETINGS_SF "Pozdravuji. Zdravím velkolepého vudce, [player.1.leader_name] [player.1.country_name]."
MADLIB_REQUEST_GREETINGS_SH "Velkolepý vudce [player.1.country_name] se pozastavil k uznání vás  posláním jeho pozdravu. Más tu cest, tohle je pro tvou bezcennou existenci velká historická událost."
MADLIB_REQUEST_GREETINGS_WF "Prinásím pozdravy od [player.1.leader_name], vudce [player.1.civ_name_singular] ríse. Jiz jsme slyseli o vasí veliké moudrosti a síle. "
MADLIB_REQUEST_GREETINGS_WH "Posílám vám prátelské pozdravy, [player.2.leader_name], s nadejemi zalozit dobàe vztahy mezi vasím národem a [player.1.country_name]."

MADLIB_ACKNOWLEDGE_GREETINGS_N "[madlib.address_head.attitude] [player.1.civ_name_plural], my,  [player.2.civ_name_plural], vítáme prílezitot se s vámi setkat."
MADLIB_ACKNOWLEDGE_GREETINGS_SF "[madlib.address_head.attitude] [player.1.civ_name_plural], jsem rád, ze te vidím príteli. Prosím, rekni o cem chces pohovorit s velkým [player.2.leader_name] z [player.2.country_name]."
MADLIB_ACKNOWLEDGE_GREETINGS_SH "[madlib.address_head.attitude] [player.1.civ_name_plural],jsme ochotni se s tebou setkat, ale vez to, ze [player.2.civ_name_singular] lid záda tvou krev, vladari [player.1.leader_name]."
MADLIB_ACKNOWLEDGE_GREETINGS_WF "[madlib.address_head.attitude] [player.1.civ_name_plural], [player.2.country_name] ocenuji tvou návstevu. Tak mocný národ jakymz bezespru jste, jiste si budete prát podporit své prátele."
MADLIB_ACKNOWLEDGE_GREETINGS_WH "[madlib.address_head.attitude] [player.1.civ_name_plural], vase násilná historie vás predstihla, i tak vám udelíme diplomatickou návstevu v nadejích, ze  se chcete smírit s [player.2.civ_name_singular] lidem."

DIP_ACKNOWLEDGE_GREETINGS "[madlib.acknowledge_greetings.attitude]"

DIP_REQUEST_GREETINGS "[madlib.request_greetings.attitude]"

#str_tbl_ldl_The_Diplomats "Nás vudce je zaneprázdnen. Nemáme zájem s vámi o necem diskutovat." 

MADLIB_DIP_HEAD "[madlib.address_head.attitude] [player.2.civ_name_plural], my, [player.1.civ_name_plural],"

DIP_HEADER               "[madlib.dip_head] ..."
DIP_DEMAND_INCOMPLETE    "[madlib.dip_head] tvuj pozadavek ..."
DIP_OFFER_INCOMPLETE     "[madlib.dip_head] tvoje nabídka ..."
DIP_TREATY_INCOMPLETE    "[madlib.dip_head] predlozit smlouvu ..."
DIP_EXCHANGE_INCOMPLETE  "[madlib.dip_head] prejes vymenit ..."

DIP_DEMAND_GOLD      "[madlib.dip_head] pozaduji, abyste nám predal príspevek [gold.amount] zlatých[madlib.demand_tail.attitude]"
DIP_DEMAND_MAPS      "[madlib.dip_head] pozaduji poskytnutí vasich map[madlib.demand_tail.attitude]"
DIP_DEMAND_ADVANCE   "[madlib.dip_head] pozadujeme abys nám dal vedomost [advance.name][madlib.demand_tail.attitude]"
DIP_DEMAND_PIRACY    "[madlib.dip_head] pozaduji abyste se zdrzel piráctví[madlib.demand_tail.attitude]"
DIP_DEMAND_STOPTRADE "[madlib.dip_head] pozaduji, abyste prestal obchodovat s [player.3.civ_name_plural][madlib.demand_tail.attitude]"
DIP_DEMAND_POLLUTION "[madlib.dip_head] pozaduji redukci vaseho znecistení[madlib.demand_tail.attitude]"
DIP_DEMAND_LEAVE     "[madlib.dip_head] pozaduji, abyste zastavil narusování hranic[madlib.demand_tail.attitude]"
DIP_DEMAND_ATTACK    "[madlib.dip_head]pozaduji, abyste se s námi spojil v krizácké výprave proti [player.3.civ_name_plural][madlib.demand_tail.attitude]"

DIP_OFFER_GOLD    "[madlib.dip_head] nabízíme vám prátelský príspevek [gold.amount] zlatých[madlib.offer_tail.attitude]"
DIP_OFFER_MAPS    "[madlib.dip_head] nabízíme vám nase mapy[madlib.offer_tail.attitude]"
DIP_OFFER_ADVANCE "[madlib.dip_head] nabízíme vám vedomosti v oblasti [advance.name][madlib.offer_tail.attitude]"

DIP_TREATY_CEASE    "[madlib.dip_head]predkládáme vám docasnou mírovou smlouvu[madlib.treaty_tail.attitude]"
DIP_TREATY_ECO      "[madlib.dip_head] predkládáme vám návrh na formální rozdelení planety[madlib.treaty_tail.attitude]"
# Conflict with new diplomacy, bye-bye!
#DIP_TREATY_ALLIANCE "[madlib.dip_head] predkládáme smlouvu v podobe trvalé aliance[madlib.treaty_tail.attitude]"

# DIP_EXCHANGE_ADVANCE Had conflict with new diplomacy strings!
DIP_EXCHANGE_ADVANCE "[madlib.dip_head] si preje vymenit vedomost [advance.1.name] za vasi vedomost [advance.2.name][madlib.exchange_tail.attitude]"

DIP_EXCHANGE_MAPS    "[madlib.dip_head] si preje vymenit mapy[madlib.exchange_tail.attitude]"

MADLIB_DIP_RES_HEAD "[player.2.leader_name] z [player.2.civ_name_plural]"

MADLIB_DIP_RES_DEMAND_GOLD      "pozaduje odevzdání [gold.amount] zlatých"
MADLIB_DIP_RES_DEMAND_MAPS      "pozaduje tvé mapy"
MADLIB_DIP_RES_DEMAND_ADVANCE   "pozadujeme abyste od nás priajli [player.2.civ_name_singular] vedomost [advance.name]"
MADLIB_DIP_RES_DEMAND_PIRACY    "demand that we refrain from piracy against you"
MADLIB_DIP_RES_DEMAND_STOPTRADE "demand that we avoid trade with the [player.3.civ_name_plural]"
MADLIB_DIP_RES_DEMAND_POLLUTION "demand that we reduce our pollution"
MADLIB_DIP_RES_DEMAND_LEAVE     "demand that we stop trespassing"
MADLIB_DIP_RES_DEMAND_ATTACK    "demand that we join you in a crusade against the [player.3.civ_name_plural]"

MADLIB_DIP_RES_OFFER_GOLD       "nabízí [gold.amount] zlata"
MADLIB_DIP_RES_OFFER_MAPS       "nabízí [player.1.civ_name_singular] mapy"
MADLIB_DIP_RES_OFFER_ADVANCE    "nabízí [player.1.civ_name_singular] vedomost [advance.name]"

MADLIB_DIP_RES_TREATY_CEASE     "Mírová Smlouva"
MADLIB_DIP_RES_TREATY_ECO       "smlouva formálního rozdelení planety"
