#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Polish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Ta nacja jest ciagle niezadowolona z powodu przegranej bitwy jaka stoczyli z nami."
REGARD_EVENT_ATTACKED_CIVILIANS "Oni sa przerazeni naszym atakiem na ich jednostki cywilne."
REGARD_EVENT_UNPROVOKED_ATTACK "Przywodca tej nacji jest wsciekly na nas za to, ze zaatakowalismy jego kraj bez powodu."
REGARD_EVENT_PEACETIME_BORDER_INCURSION "Ta nacja jest wsciekla z powodu naruszenia ich granic w czasie pokoju."
REGARD_EVENT_BORDER_INCURSION_PULLOUT "Ta nacja jest niezadowolona z powodu niewycofania naszych wojsk z ich terenow."
REGARD_EVENT_WITHDRAW_TROOPS_VIOLATION "Ta nacja jest niezadowolona z powodu naszej niekonsekwencji i niespelnienia prosby wycofania naszych wojsk z ich ziem."
REGARD_EVENT_INVADER_MOVEMENT "Ta nacja jest niezadowolona z powodu przemieszczania naszych wojsk w obrebie ich kraju.  Dla nich jestesmy tylko niechcianymi intruzami."
REGARD_EVENT_VIOLATED_PEACE_TREATY "Ta nacja jest wsciekla z powodu zerwania traktatu pokojowego."
REGARD_EVENT_VIOLATED_STOP_PIRACY "Ta nacja jest wsciekla z powodu nieprzestrzegania przez nas kraktatu o nienapadanie na ich szlaki handlowe."
REGARD_EVENT_PER_ROUTE_PIRACY "Ta nacja jest poirytowana naszymi ciaglymi napadami na ich szlaki handlowe."
REGARD_EVENT_ENEMY_SHARES_CONTINENT "Ta nacja czyje sie urazona tym, ze zajmujemy ich terytorium i kontynent."
REGARD_EVENT_ENEMY_CONVERTED_CITY "Ta nacja jest oburzona z powodu nawracania ich miat na Nasza religie."
REGARD_EVENT_POSITIVE_SENDER_DIPLOMACY_RESULT "{player[0].civ_name_singular} prosza o przestrzegania ich propozycji dyplomatycznych."
REGARD_EVENT_POSITIVE_RECEIVER_DIPLOMACY_RESULT "{player[0].civ_name_singular} zyczliwie przyjmuja nasze dyplomatyczne propozycje."
REGARD_EVENT_NEGATIVE_SENDER_DIPLOMACY_RESULT "Nasza reakcja na propozycje {player[0].civ_name_plural} nie polepszyla ich szacunku do nas."
REGARD_EVENT_NEGATIVE_RECEIVER_DIPLOMACY_RESULT "Nasza propozycja pogorszyla stosunki z nacja {player[0].civ_name_plural}."
REGARD_EVENT_STOP_RESEARCH_VIOLATION "Ta nacja jest zla z powodu nie przestrzegania przez nas warunkow umowy o zaprzestanie badan."
REGARD_EVENT_PROPOSAL_REDUCE_POLLUTION "Ta nacja zada od nas zmniejszenia poziomu zanieczyszczen.  Jak dotad poziom naszych zanieczyszczen nie spotyka sie z ich akceptacja."
REGARD_EVENT_PROPOSAL_POLLUTION_PACT "Ta nacja jest zla z powodu nie przestrzegania przez nas paktu ekologicznego ."
REGARD_EVENT_EMBARGO_TRADE "Nasze embargo handlowe bardzo zdenerwowalo ta nacje."
REGARD_EVENT_VIOLATED_ALLIANCE "Zlamalismy nasz sojusz!  Ta nacja moze nam nigdy tego nie wybaczyc."
REGARD_EVENT_VIOLATED_WITHDRAW_TROOPS "Ta nacja jest niezadowolona z powodu niewycofania naszych wojsk, z ich ziem, zgodnie z umowa."
REGARD_EVENT_CAPTURED_CITY "Ta nacja jest na Nas ciagle wsciekla z powodu zdobycia kilku ich miast."
REGARD_EVENT_HOLD_RECEPTION "Wladze {player[0].civ_name_plural} sa ciagle pod pozytywnym wrazeniem wielkiej wizyty jaka zlozyli im nasi dyplomaci."
REGARD_EVENT_VIOLATE_TRADE_PACT "Embargo nalozone na ta nacje bylo naruszeniem naszych umow.  Ale zostalo to nam juz wybaczone."
